0.000,0.000,1.500,-1.000
0.020,0.047,1.499,-1.010
0.040,0.094,1.497,-1.020
0.060,0.141,1.493,-1.030
0.080,0.188,1.488,-1.040
0.100,0.235,1.482,-1.050
0.120,0.281,1.473,-1.060
0.140,0.327,1.464,-1.070
0.160,0.373,1.453,-1.080
0.180,0.418,1.440,-1.090
0.200,0.464,1.427,-1.100
0.220,0.508,1.411,-1.110
0.240,0.552,1.395,-1.120
0.260,0.596,1.377,-1.130
0.280,0.639,1.357,-1.140
0.300,0.681,1.337,-1.150
0.320,0.723,1.314,-1.160
0.340,0.764,1.291,-1.170
0.360,0.804,1.266,-1.180
0.380,0.843,1.241,-1.190
0.400,0.882,1.214,-1.200
0.420,0.919,1.185,-1.210
0.440,0.956,1.156,-1.220
0.460,0.992,1.125,-1.230
0.480,1.027,1.093,-1.240
0.500,1.061,1.061,-1.250
0.520,1.093,1.027,-1.260
0.540,1.125,0.992,-1.270
0.560,1.156,0.956,-1.280
0.580,1.185,0.919,-1.290
0.600,1.214,0.882,-1.300
0.620,1.241,0.843,-1.310
0.640,1.266,0.804,-1.320
0.660,1.291,0.764,-1.330
0.680,1.314,0.723,-1.340
0.700,1.337,0.681,-1.350
0.720,1.357,0.639,-1.360
0.740,1.377,0.596,-1.370
0.760,1.395,0.552,-1.380
0.780,1.411,0.508,-1.390
0.800,1.427,0.464,-1.400
0.820,1.440,0.418,-1.410
0.840,1.453,0.373,-1.420
0.860,1.464,0.327,-1.430
0.880,1.473,0.281,-1.440
0.900,1.482,0.235,-1.450
0.920,1.488,0.188,-1.460
0.940,1.493,0.141,-1.470
0.960,1.497,0.094,-1.480
0.980,1.499,0.047,-1.490
1.000,1.500,-0.000,-1.500
1.020,1.499,-0.047,-1.510
1.040,1.497,-0.094,-1.520
1.060,1.493,-0.141,-1.530
1.080,1.488,-0.188,-1.540
1.100,1.482,-0.235,-1.550
1.120,1.473,-0.281,-1.560
1.140,1.464,-0.327,-1.570
1.160,1.453,-0.373,-1.580
1.180,1.440,-0.418,-1.590
1.200,1.427,-0.464,-1.600
1.220,1.411,-0.508,-1.610
1.240,1.395,-0.552,-1.620
1.260,1.377,-0.596,-1.630
1.280,1.357,-0.639,-1.640
1.300,1.337,-0.681,-1.650
1.320,1.314,-0.723,-1.660
1.340,1.291,-0.764,-1.670
1.360,1.266,-0.804,-1.680
1.380,1.241,-0.843,-1.690
1.400,1.214,-0.882,-1.700
1.420,1.185,-0.919,-1.710
